Food code,Seq num,Portion code,Portion weight,Start date,End date
11459990,3,64733,160,"01/01/19 00:00:00","12/31/20 00:00:00"
11459990,4,64734,320,"01/01/19 00:00:00","12/31/20 00:00:00"
11459990,5,64735,480,"01/01/19 00:00:00","12/31/20 00:00:00"
11459990,6,90000,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,1,10205,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,2,64289,160,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,3,64733,160,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,4,64734,320,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,5,64735,480,"01/01/19 00:00:00","12/31/20 00:00:00"
11460000,6,90000,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,1,10205,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,2,64289,160,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,3,64733,160,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,4,64734,320,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,5,64735,480,"01/01/19 00:00:00","12/31/20 00:00:00"
11460100,6,90000,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460500,1,10205,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460500,2,90000,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460510,1,10205,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11460510,2,90000,175,"01/01/19 00:00:00","12/31/20 00:00:00"
11461200,1,61853,75,"01/01/19 00:00:00","12/31/20 00:00:00"
11461200,2,90000,75,"01/01/19 00:00:00","12/31/20 00:00:00"
11461210,1,60345,65,"01/01/19 00:00:00","12/31/20 00:00:00"
11461210,2,90000,65,"01/01/19 00:00:00","12/31/20 00:00:00"
11461220,1,60345,65,"01/01/19 00:00:00","12/31/20 00:00:00"
11461220,2,90000,65,"01/01/19 00:00:00","12/31/20 00:00:00"
11461250,1,60589,125,"01/01/19 00:00:00","12/31/20 00:00:00"
11461250,2,90000,125,"01/01/19 00:00:00","12/31/20 00:00:00"
11461260,1,60589,125,"01/01/19 00:00:00","12/31/20 00:00:00"
11461260,2,90000,125,"01/01/19 00:00:00","12/31/20 00:00:00"
11461300,1,60589,255,"01/01/19 00:00:00","12/31/20 00:00:00"
11461300,2,90000,255,"01/01/19 00:00:00","12/31/20 00:00:00"
